Designator,Mid X,Mid Y,Rotation,Layer
A1,147.447,-82.55,0.0,top
C1,164.338,-81.788,180.0,top
C2,164.338,-79.756,180.0,top
C3,164.338,-87.884,180.0,top
C4,164.338,-85.852,180.0,top
C5,164.338,-89.916,180.0,top
C6,164.338,-83.82,180.0,top
C9 100N,186.182,-81.28,0.0,top
D1,169.917,-67.07,0.0,top
D10,169.9145,-75.28,0.0,top
D11,169.917,-69.12,0.0,top
D12,175.512,-75.28,0.0,top
D13,175.514,-69.11,0.0,top
D2,175.4945,-67.07,0.0,top
D3,169.926,-65.024,0.0,top
D4,175.514,-65.024,0.0,top
D6,169.912,-73.22,0.0,top
D7,169.9145,-71.16,0.0,top
D8,175.507,-73.23,0.0,top
D9,175.502,-71.17,0.0,top
J13,148.2598,-90.599714,0.0,top
J14,148.2598,-79.133429,0.0,top
J15,148.2598,-61.934,0.0,top
J16,148.2598,-96.332857,0.0,top
J17,116.332,-96.52,270.0,bottom
J18,116.332,-101.6,270.0,bottom
J19,116.332,-91.44,270.0,bottom
J20,116.332,-86.36,270.0,bottom
J21,129.032,-101.6,270.0,bottom
J22,129.032,-96.52,270.0,bottom
J23,129.032,-91.44,270.0,bottom
J24,129.032,-86.36,270.0,bottom
J25,140.462,-72.39,180.0,bottom
J26,148.2598,-84.866571,0.0,top
J27,148.2598,-73.400286,0.0,top
J28,148.2598,-67.667143,0.0,top
J3,104.6412,-68.0974,180.0,bottom
J4,107.442,-85.09,0.0,bottom
J6,107.442,-92.71,0.0,bottom
J8,172.0943,-73.4568,0.0,top
J9,148.2598,-102.066,0.0,top
M1,92.8268,-98.5028,270.0,top
M2,92.8268,-82.5028,270.0,top
M3,92.8268,-66.5028,270.0,top
ON/OFF,116.552,-78.71,0.0,top
R1,164.338,-67.056,0.0,top
R10,169.926,-85.852,0.0,top
R11,164.338,-75.184,0.0,top
R12,164.338,-69.088,0.0,top
R13,169.926,-89.916,0.0,top
R14,169.926,-83.82,0.0,top
R2,169.926,-81.788,0.0,top
R3,164.338,-65.024,0.0,top
R4,169.926,-79.756,0.0,top
R7,164.338,-73.152,0.0,top
R8,164.338,-71.12,0.0,top
R9,169.926,-87.884,0.0,top
RB 7V,107.442,-77.47,0.0,bottom
SW1_A9,160.8074,-98.679,90.0,top
SW2_A10,170.9547,-98.679,90.0,top
SW3_A11,181.102,-98.679,90.0,top
U1 74HC14,180.086,-84.836,180.0,top
VIN_7V,128.1176,-69.6788,0.0,top
